Station,Date,Time,Grade,Celsius,pH,DO,CODMn,NH,TP,TN,EC,TU,Chla,AD
Wuguishan,2022/1/1 0:00,0.00 ,3,7.13,8.193,12.381,3.032,0.025,0.0407,1.01,391.211,42.802,0.01471,26306100
Wulihuxin,2022/1/1 0:00,0.00 ,,6.08,8.327,12.494,,0.025,0.051,0.609,426.688,9.307,0.02533,3597940
Lanshanzui,2022/1/1 0:00,0.00 ,4,5.99,7.929,12.629,3.939,0.0465,0.0547,1.874,501.444,35.06,0.00561,5002870
Tuoshan,2022/1/1 0:00,0.00 ,4,6.25,8.509,13.074,3.156,0.025,0.0587,0.764,399.557,29.926,0.00441,9430408
Xuhuxin,2022/1/1 0:00,0.00 ,2,7.14,7.905,12.508,2.606,0.0252,0.0151,0.408,380.222,14.155,0.00352,1922010
Xidong,2022/1/1 0:00,0.00 ,4,9,8.13,11.487,2.03,0.025,0.068,1.981,390.2,34.8,0.00269,2550080
Wuguishan,2022/1/1 4:00,0.17 ,3,6.97,8.182,12.287,3.353,0.025,0.0321,1.119,390.996,44.781,0.01308,24080400
Wulihuxin,2022/1/1 4:00,0.17 ,,6.63,8.238,12.049,,0.025,0.0498,0.692,428.08,7.64,0.02138,3229260
Lanshanzui,2022/1/1 4:00,0.17 ,4,5.93,7.88,12.508,4.343,0.0918,0.0674,1.95,500.651,39.13,0.00587,5858100
Tuoshan,2022/1/1 4:00,0.17 ,4,6.19,8.491,12.991,2.931,0.025,0.0509,0.827,402.025,30.125,0.00429,8573862
Xuhuxin,2022/1/1 4:00,0.17 ,2,7.2,7.858,12.121,2.494,0.0363,0.0129,0.462,381.165,9.877,0.0018,1742320
Xidong,2022/1/1 4:00,0.17 ,4,8.96,8.13,11.483,2.149,0.025,0.0701,1.934,389.4,35.3,0.00294,2794450
Wuguishan,2022/1/1 8:00,0.33 ,3,6.8,8.166,12.252,3.47,0.025,0.0358,0.92,390.024,44.505,0.01275,20874300
Wulihuxin,2022/1/1 8:00,0.33 ,,6.57,8.253,11.915,,0.025,0.043,0.405,428.447,8.764,0.01964,2939450
Lanshanzui,2022/1/1 8:00,0.33 ,4,5.99,7.822,12.32,4.565,0.128,0.0598,1.932,505.238,39.67,0.00538,1776110
Tuoshan,2022/1/1 8:00,0.33 ,3,6.13,8.473,12.85,3.017,0.025,0.0492,0.696,396.26,31.381,0.00406,9398423
Xuhuxin,2022/1/1 8:00,0.33 ,2,7.01,7.856,12.149,2.631,0.0379,0.0129,0.302,381.761,12.598,0.00314,1844120
Xidong,2022/1/1 8:00,0.33 ,4,8.71,8.11,11.495,2.079,0.025,0.0671,1.924,389.5,34,0.00483,2537470
Wuguishan,2022/1/1 12:00,0.50 ,3,7,8.205,12.375,3.253,0.025,0.0265,1.062,393.077,36.653,0.01493,22838600
Wulihuxin,2022/1/1 12:00,0.50 ,,6.26,8.308,12.362,,0.025,0.0451,0.653,426.915,9.719,0.02216,3083030
Lanshanzui,2022/1/1 12:00,0.50 ,4,5.97,7.841,12.378,4.567,0.0831,0.0637,1.934,503.103,39.02,0.00525,3375610
Tuoshan,2022/1/1 12:00,0.50 ,3,6.23,8.507,13.014,3.178,0.025,0.0392,0.819,399.034,29.891,0.00515,8355355
Xuhuxin,2022/1/1 12:00,0.50 ,2,7.14,7.898,12.328,2.668,0.0331,0.0125,0.581,380.95,11.278,0.00291,1743040
Xidong,2022/1/1 12:00,0.50 ,4,8.89,8.13,11.548,2.026,0.025,0.0678,1.931,390.6,34.7,0.00255,2651990
Wuguishan,2022/1/1 16:00,0.67 ,3,7,8.233,12.465,3.142,0.025,0.0324,1.047,394.218,23.278,0.01517,18150000
Wulihuxin,2022/1/1 16:00,0.67 ,3,6.49,8.358,12.387,3.012,0.025,0.0447,0.524,426.843,8.932,0.02315,2938890
